class_name,model_name,precision,recall,f1-score,support
Actinic keratosis,resnet18,0.4166666666666667,0.7692307692307693,0.5405405405405406,26.0
Basal Cell Carcinoma,resnet18,0.9027777777777778,0.7738095238095238,0.8333333333333334,84.0
Darier_s Disease,resnet18,0.7368421052631579,0.7,0.717948717948718,20.0
Dermatofibroma,resnet18,1.0,0.9130434782608695,0.9545454545454546,23.0
Epidermolysis Bullosa Pruriginosa,resnet18,0.9411764705882353,0.8,0.8648648648648649,20.0
Hailey-Hailey Disease,resnet18,0.696969696969697,0.7931034482758621,0.7419354838709677,29.0
Herpes Simplex,resnet18,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Impetigo,resnet18,0.8095238095238095,0.7727272727272727,0.7906976744186046,22.0
Larva Migrans,resnet18,0.7407407407407407,0.7142857142857143,0.7272727272727273,28.0
Leprosy Borderline,resnet18,0.75,0.7241379310344828,0.7368421052631579,29.0
Leprosy Lepromatous,resnet18,0.7222222222222222,0.6610169491525424,0.6902654867256637,59.0
Leprosy Tuberculoid,resnet18,0.68,0.723404255319149,0.7010309278350515,47.0
Lichen Planus,resnet18,0.7666666666666667,0.8518518518518519,0.8070175438596491,27.0
Lupus Erythematosus Chronicus Discoides,resnet18,0.7272727272727273,0.6956521739130435,0.7111111111111111,23.0
Melanoma,resnet18,0.88,0.8461538461538461,0.8627450980392157,26.0
Molluscum Contagiosum,resnet18,0.7586206896551724,0.8148148148148148,0.7857142857142857,27.0
Mycosis Fungoides,resnet18,0.7692307692307693,0.8333333333333334,0.8,24.0
Neurofibromatosis,resnet18,1.0,0.9444444444444444,0.9714285714285714,18.0
Nevus,resnet18,0.8727272727272727,0.64,0.7384615384615385,75.0
Papilomatosis Confluentes And Reticulate,resnet18,0.8888888888888888,0.8888888888888888,0.8888888888888888,18.0
Pediculosis Capitis,resnet18,1.0,0.9411764705882353,0.9696969696969697,17.0
Pigmented Benign Keratosis,resnet18,0.8111111111111111,0.7604166666666666,0.7849462365591398,96.0
Pityriasis Rosea,resnet18,0.6896551724137931,0.7692307692307693,0.7272727272727273,26.0
Porokeratosis Actinic,resnet18,0.8387096774193549,1.0,0.9122807017543859,26.0
Psoriasis,resnet18,0.7741935483870968,0.8888888888888888,0.8275862068965517,27.0
Seborrheic keratosis,resnet18,0.75,0.75,0.75,16.0
Squamous cell carcinoma,resnet18,0.6,0.675,0.6352941176470588,40.0
Tinea Corporis,resnet18,0.8,0.6956521739130435,0.7441860465116279,23.0
Tinea Nigra,resnet18,0.7857142857142857,0.9166666666666666,0.8461538461538461,24.0
Tungiasis,resnet18,0.8666666666666667,0.9629629629629629,0.9122807017543859,27.0
Vascular lesion,resnet18,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
accuracy,resnet18,0.7806841046277666,0.7806841046277666,0.7806841046277666,0.7806841046277666
macro avg,resnet18,0.7950895664589226,0.8016799097567618,0.794373336627827,994.0
weighted avg,resnet18,0.7946549840041266,0.7806841046277666,0.7831656107224089,994.0
Actinic keratosis,mobilenet_v3_large,0.48484848484848486,0.6153846153846154,0.5423728813559322,26.0
Basal Cell Carcinoma,mobilenet_v3_large,0.8481012658227848,0.7976190476190477,0.8220858895705522,84.0
Darier_s Disease,mobilenet_v3_large,0.6470588235294118,0.55,0.5945945945945946,20.0
Dermatofibroma,mobilenet_v3_large,0.9047619047619048,0.8260869565217391,0.8636363636363636,23.0
Epidermolysis Bullosa Pruriginosa,mobilenet_v3_large,0.8095238095238095,0.85,0.8292682926829268,20.0
Hailey-Hailey Disease,mobilenet_v3_large,0.7931034482758621,0.7931034482758621,0.7931034482758621,29.0
Herpes Simplex,mobilenet_v3_large,0.7368421052631579,0.7777777777777778,0.7567567567567568,18.0
Impetigo,mobilenet_v3_large,0.7894736842105263,0.6818181818181818,0.7317073170731707,22.0
Larva Migrans,mobilenet_v3_large,0.7037037037037037,0.6785714285714286,0.6909090909090909,28.0
Leprosy Borderline,mobilenet_v3_large,0.6206896551724138,0.6206896551724138,0.6206896551724138,29.0
Leprosy Lepromatous,mobilenet_v3_large,0.6607142857142857,0.6271186440677966,0.6434782608695652,59.0
Leprosy Tuberculoid,mobilenet_v3_large,0.6428571428571429,0.574468085106383,0.6067415730337079,47.0
Lichen Planus,mobilenet_v3_large,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
Lupus Erythematosus Chronicus Discoides,mobilenet_v3_large,0.7916666666666666,0.8260869565217391,0.8085106382978723,23.0
Melanoma,mobilenet_v3_large,0.875,0.8076923076923077,0.84,26.0
Molluscum Contagiosum,mobilenet_v3_large,0.7931034482758621,0.8518518518518519,0.8214285714285714,27.0
Mycosis Fungoides,mobilenet_v3_large,0.625,0.625,0.625,24.0
Neurofibromatosis,mobilenet_v3_large,1.0,0.8888888888888888,0.9411764705882353,18.0
Nevus,mobilenet_v3_large,0.8571428571428571,0.56,0.6774193548387096,75.0
Papilomatosis Confluentes And Reticulate,mobilenet_v3_large,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Pediculosis Capitis,mobilenet_v3_large,0.8,0.9411764705882353,0.8648648648648649,17.0
Pigmented Benign Keratosis,mobilenet_v3_large,0.7238095238095238,0.7916666666666666,0.7562189054726368,96.0
Pityriasis Rosea,mobilenet_v3_large,0.6774193548387096,0.8076923076923077,0.7368421052631579,26.0
Porokeratosis Actinic,mobilenet_v3_large,0.7647058823529411,1.0,0.8666666666666667,26.0
Psoriasis,mobilenet_v3_large,0.6363636363636364,0.7777777777777778,0.7,27.0
Seborrheic keratosis,mobilenet_v3_large,0.7222222222222222,0.8125,0.7647058823529411,16.0
Squamous cell carcinoma,mobilenet_v3_large,0.6521739130434783,0.75,0.6976744186046512,40.0
Tinea Corporis,mobilenet_v3_large,0.875,0.6086956521739131,0.717948717948718,23.0
Tinea Nigra,mobilenet_v3_large,0.8076923076923077,0.875,0.84,24.0
Tungiasis,mobilenet_v3_large,0.9310344827586207,1.0,0.9642857142857143,27.0
Vascular lesion,mobilenet_v3_large,0.9354838709677419,1.0,0.9666666666666667,29.0
accuracy,mobilenet_v3_large,0.7575452716297787,0.7575452716297787,0.7575452716297787,0.7575452716297787
macro avg,mobilenet_v3_large,0.7692594958883341,0.7778375166601689,0.7693750360349472,994.0
weighted avg,mobilenet_v3_large,0.7641579153351914,0.7575452716297787,0.755895485441026,994.0
Actinic keratosis,densenet121,0.38461538461538464,0.38461538461538464,0.38461538461538464,26.0
Basal Cell Carcinoma,densenet121,0.8241758241758241,0.8928571428571429,0.8571428571428571,84.0
Darier_s Disease,densenet121,1.0,0.7,0.8235294117647058,20.0
Dermatofibroma,densenet121,0.7857142857142857,0.9565217391304348,0.8627450980392157,23.0
Epidermolysis Bullosa Pruriginosa,densenet121,1.0,0.9,0.9473684210526315,20.0
Hailey-Hailey Disease,densenet121,0.7741935483870968,0.8275862068965517,0.8,29.0
Herpes Simplex,densenet121,0.9333333333333333,0.7777777777777778,0.8484848484848485,18.0
Impetigo,densenet121,0.8333333333333334,0.6818181818181818,0.75,22.0
Larva Migrans,densenet121,0.875,0.75,0.8076923076923077,28.0
Leprosy Borderline,densenet121,0.84,0.7241379310344828,0.7777777777777778,29.0
Leprosy Lepromatous,densenet121,0.7540983606557377,0.7796610169491526,0.7666666666666667,59.0
Leprosy Tuberculoid,densenet121,0.7837837837837838,0.6170212765957447,0.6904761904761905,47.0
Lichen Planus,densenet121,0.7058823529411765,0.8888888888888888,0.7868852459016393,27.0
Lupus Erythematosus Chronicus Discoides,densenet121,0.72,0.782608695652174,0.75,23.0
Melanoma,densenet121,0.9411764705882353,0.6153846153846154,0.7441860465116279,26.0
Molluscum Contagiosum,densenet121,0.78125,0.9259259259259259,0.847457627118644,27.0
Mycosis Fungoides,densenet121,0.7777777777777778,0.875,0.8235294117647058,24.0
Neurofibromatosis,densenet121,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
Nevus,densenet121,0.9,0.6,0.72,75.0
Papilomatosis Confluentes And Reticulate,densenet121,1.0,0.9444444444444444,0.9714285714285714,18.0
Pediculosis Capitis,densenet121,0.8888888888888888,0.9411764705882353,0.9142857142857143,17.0
Pigmented Benign Keratosis,densenet121,0.8181818181818182,0.75,0.782608695652174,96.0
Pityriasis Rosea,densenet121,0.8846153846153846,0.8846153846153846,0.8846153846153846,26.0
Porokeratosis Actinic,densenet121,0.7878787878787878,1.0,0.8813559322033898,26.0
Psoriasis,densenet121,0.6923076923076923,0.6666666666666666,0.6792452830188679,27.0
Seborrheic keratosis,densenet121,0.7368421052631579,0.875,0.8,16.0
Squamous cell carcinoma,densenet121,0.48484848484848486,0.8,0.6037735849056604,40.0
Tinea Corporis,densenet121,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Tinea Nigra,densenet121,0.875,0.875,0.875,24.0
Tungiasis,densenet121,0.7647058823529411,0.9629629629629629,0.8524590163934426,27.0
Vascular lesion,densenet121,1.0,1.0,1.0,29.0
accuracy,densenet121,0.7927565392354124,0.7927565392354124,0.7927565392354124,0.7927565392354124
macro avg,densenet121,0.8167140290519131,0.8112968423796884,0.8065761573702771,994.0
weighted avg,densenet121,0.8089444741670594,0.7927565392354124,0.7927188090871836,994.0
Actinic keratosis,efficientnet_b0,0.4634146341463415,0.7307692307692307,0.5671641791044776,26.0
Basal Cell Carcinoma,efficientnet_b0,0.918918918918919,0.8095238095238095,0.8607594936708861,84.0
Darier_s Disease,efficientnet_b0,0.85,0.85,0.85,20.0
Dermatofibroma,efficientnet_b0,0.8333333333333334,0.8695652173913043,0.851063829787234,23.0
Epidermolysis Bullosa Pruriginosa,efficientnet_b0,0.8571428571428571,0.9,0.8780487804878049,20.0
Hailey-Hailey Disease,efficientnet_b0,0.75,0.8275862068965517,0.7868852459016393,29.0
Herpes Simplex,efficientnet_b0,0.7058823529411765,0.6666666666666666,0.6857142857142857,18.0
Impetigo,efficientnet_b0,0.7222222222222222,0.5909090909090909,0.65,22.0
Larva Migrans,efficientnet_b0,0.71875,0.8214285714285714,0.7666666666666667,28.0
Leprosy Borderline,efficientnet_b0,0.6470588235294118,0.7586206896551724,0.6984126984126984,29.0
Leprosy Lepromatous,efficientnet_b0,0.8367346938775511,0.6949152542372882,0.7592592592592593,59.0
Leprosy Tuberculoid,efficientnet_b0,0.6875,0.7021276595744681,0.6947368421052632,47.0
Lichen Planus,efficientnet_b0,0.8461538461538461,0.8148148148148148,0.8301886792452831,27.0
Lupus Erythematosus Chronicus Discoides,efficientnet_b0,0.782608695652174,0.782608695652174,0.782608695652174,23.0
Melanoma,efficientnet_b0,0.7931034482758621,0.8846153846153846,0.8363636363636363,26.0
Molluscum Contagiosum,efficientnet_b0,0.8275862068965517,0.8888888888888888,0.8571428571428571,27.0
Mycosis Fungoides,efficientnet_b0,0.75,0.875,0.8076923076923077,24.0
Neurofibromatosis,efficientnet_b0,0.8947368421052632,0.9444444444444444,0.918918918918919,18.0
Nevus,efficientnet_b0,0.92,0.6133333333333333,0.736,75.0
Papilomatosis Confluentes And Reticulate,efficientnet_b0,0.8571428571428571,1.0,0.9230769230769231,18.0
Pediculosis Capitis,efficientnet_b0,1.0,0.8823529411764706,0.9375,17.0
Pigmented Benign Keratosis,efficientnet_b0,0.8444444444444444,0.7916666666666666,0.8172043010752689,96.0
Pityriasis Rosea,efficientnet_b0,0.6923076923076923,0.6923076923076923,0.6923076923076923,26.0
Porokeratosis Actinic,efficientnet_b0,0.9629629629629629,1.0,0.9811320754716981,26.0
Psoriasis,efficientnet_b0,0.6875,0.8148148148148148,0.7457627118644068,27.0
Seborrheic keratosis,efficientnet_b0,0.8,0.75,0.7741935483870968,16.0
Squamous cell carcinoma,efficientnet_b0,0.5849056603773585,0.775,0.6666666666666666,40.0
Tinea Corporis,efficientnet_b0,0.875,0.6086956521739131,0.717948717948718,23.0
Tinea Nigra,efficientnet_b0,0.9545454545454546,0.875,0.9130434782608695,24.0
Tungiasis,efficientnet_b0,0.84375,1.0,0.9152542372881356,27.0
Vascular lesion,efficientnet_b0,0.9354838709677419,1.0,0.9666666666666667,29.0
accuracy,efficientnet_b0,0.7947686116700201,0.7947686116700201,0.7947686116700201,0.7947686116700201
macro avg,efficientnet_b0,0.8013932199336781,0.8134082492238951,0.8022059159722431,994.0
weighted avg,efficientnet_b0,0.8094709522227657,0.7947686116700201,0.7958958890504777,994.0
